Sequence	BIPA
@~:	ə̃ː
@_X	ə̆
@_k	ə̰
E	ɛ
E:	ɛː
E::	ɛːː
E~	ɛ̃
E~:	ɛ̃ː
E_k	ɛ̰
3	ɜ
3:	ɜː
3~	ɜ̃
3~:	ɜ̃ː
3\	ɞ
3\:	ɞː
3\~	ɞ̃
3\~:	ɞ̃ː
3\_o	ɞ̞
3\_o:	ɞ̞ː
3\_o~	ɞ̞̃
3\_o~:	ɞ̞̃ː
7	ɤ
7:	ɤː
7~	ɤ̃
7~:	ɤ̃ː
7_X	ɤ̆
7_o	ɤ̞
7_o:	ɤ̞ː
7_o~	ɤ̞̃
7_o~:	ɤ̞̃ː
ɨ	ɨ
ɨ:	ɨː
ɨ~	ɨ̃
ɨ~:	ɨ̃ː
I	ɪ
I:	ɪː
I~	ɪ̃
I~:	ɪ̃ː
I_"	ɪ̈
I_":	ɪ̈ː
I_"~	ɪ̈̃
I_"~:	ɪ̈̃ː
I_0	ɪ̥
I_^	ɪ̯
I_k	ɪ̰
M	ɯ
M:	ɯː
M~	ɯ̃
M~:	ɯ̃ː
M_0~	ɯ̥̃
M_b	ɯ̤
M_0	ɯ̥
M_^	ɯ̯
M^x	ɯ̽
M^x:	ɯ̽ː
M^x~	ɯ̽̃
M^x~:	ɯ̽̃ː
8	ɵ
8:	ɵː
8~	ɵ̃
8~:	ɵ̃ː
8_o	ɵ̞
8_o:	ɵ̞ː
8_o~	ɵ̞̃
8_o~:	ɵ̞̃ː
&	ɶ
&:	ɶː
&~	ɶ̃
&~:	ɶ̃ː
i_z	ɿ
i`	ʅ
}	ʉ
}:	ʉː
}~	ʉ̃
}~:	ʉ̃ː
}_k	ʉ̰
U	ʊ
U:	ʊː
U~	ʊ̃
U~:	ʊ̃ː
U_"	ʊ̈
U_":	ʊ̈ː
U_"~	ʊ̈̃
U_"~:	ʊ̈̃ː
U_0	ʊ̥
U_^	ʊ̯
U_k	ʊ̰
V	ʌ
V:	ʌː
V~	ʌ̃
V~:	ʌ̃ː
V_b~	ʌ̤̃
V_X	ʌ̆
V_b	ʌ̤
V_^:	ʌ̯ː
Y	ʏ
Y:	ʏː
Y~	ʏ̃
Y~:	ʏ̃ː
H`	ʮ
H\/	ʯ
7_^	ɤ̯
O_^	ɔ̯
E_^	ɛ̯
¹¹	¹¹
¹²	¹²
¹³	¹³
¹⁴	¹⁴
¹⁵	¹⁵
²¹	²¹
²²	²²
²³	²³
²⁴	²⁴
²⁵	²⁵
³¹	³¹
³²	³²
³³	³³
³⁴	³⁴
³⁵	³⁵
⁴¹	⁴¹
⁴²	⁴²
⁴³	⁴³
⁴⁴	⁴⁴
⁴⁵	⁴⁵
⁵¹	⁵¹
⁵²	⁵²
⁵³	⁵³
⁵⁴	⁵⁴
⁵⁵	⁵⁵
¹	¹
²	²
³	³
⁴	⁴
⁵	⁵
¹¹²	¹¹²
¹¹³	¹¹³
¹¹⁴	¹¹⁴
¹¹⁵	¹¹⁵
¹²¹	¹²¹
¹²²	¹²²
¹³¹	¹³¹
¹³²	¹³²
¹³³	¹³³
¹⁴¹	¹⁴¹
¹⁴²	¹⁴²
¹⁴³	¹⁴³
¹⁴⁴	¹⁴⁴
¹⁵¹	¹⁵¹
¹⁵²	¹⁵²
¹⁵³	¹⁵³
¹⁵⁴	¹⁵⁴
¹⁵⁵	¹⁵⁵
²¹¹	²¹¹
²¹²	²¹²
²¹³	²¹³
²¹⁴	²¹⁴
²¹⁵	²¹⁵
²²¹	²²¹
²²³	²²³
²²⁴	²²⁴
²²⁵	²²⁵
²³¹	²³¹
²³²	²³²
²³³	²³³
²⁴¹	²⁴¹
²⁴²	²⁴²
²⁴³	²⁴³
²⁴⁴	²⁴⁴
²⁵¹	²⁵¹
²⁵²	²⁵²
²⁵³	²⁵³
²⁵⁴	²⁵⁴
²⁵⁵	²⁵⁵
³¹¹	³¹¹
³¹²	³¹²
³¹³	³¹³
³¹⁴	³¹⁴
³¹⁵	³¹⁵
³²²	³²²
³²³	³²³
³²⁴	³²⁴
³²⁵	³²⁵
³³¹	³³¹
³³²	³³²
³³⁴	³³⁴
³³⁵	³³⁵
³⁴¹	³⁴¹
³⁴²	³⁴²
³⁴³	³⁴³
³⁴⁴	³⁴⁴
³⁴⁵	³⁴⁵
³⁵¹	³⁵¹
³⁵²	³⁵²
³⁵³	³⁵³
³⁵⁴	³⁵⁴
³⁵⁵	³⁵⁵
⁴¹¹	⁴¹¹
⁴¹²	⁴¹²
⁴¹³	⁴¹³
⁴¹⁴	⁴¹⁴
⁴¹⁵	⁴¹⁵
⁴²²	⁴²²
⁴²³	⁴²³
⁴²⁴	⁴²⁴
⁴²⁵	⁴²⁵
⁴³³	⁴³³
⁴³⁴	⁴³⁴
⁴³⁵	⁴³⁵
⁴⁴¹	⁴⁴¹
⁴⁴²	⁴⁴²
⁴⁴³	⁴⁴³
⁴⁴⁵	⁴⁴⁵
⁴⁵¹	⁴⁵¹
⁴⁵²	⁴⁵²
⁴⁵³	⁴⁵³
⁴⁵⁴	⁴⁵⁴
⁴⁵⁵	⁴⁵⁵
⁵¹¹	⁵¹¹
⁵¹²	⁵¹²
⁵¹³	⁵¹³
⁵¹⁴	⁵¹⁴
⁵¹⁵	⁵¹⁵
⁵²²	⁵²²
⁵²³	⁵²³
⁵²⁴	⁵²⁴
⁵²⁵	⁵²⁵
⁵³³	⁵³³
⁵³⁴	⁵³⁴
⁵³⁵	⁵³⁵
⁵⁴⁴	⁵⁴⁴
⁵⁴⁵	⁵⁴⁵
⁵⁵¹	⁵⁵¹
⁵⁵²	⁵⁵²
⁵⁵³	⁵⁵³
⁵⁵⁴	⁵⁵⁴
⁰	⁰
d_j	dʲ
l_j	lʲ
n_j	nʲ
r_j	rʲ
s_j	sʲ
z_j	zʲ
dz	dz
dz	dz
dz:	dzː
tK	tɬ
ts	ts
ts	ts
ts:	tsː
ts:	tsː
l_G	lˠ
l_=	l̩
!\	ǃ
n_=	n̩
n_0	n̥
d_h\	dʱ
d_h\:	dʱː
d_h\:	dʱː
d_h:	dʰː
t_h	tʰ
t_w[?]_h	tʷʰ
t_j	tʲ
l_h\	lʱ
r_?\:	rˤː
_ng!\	ⁿgǃ
t\	ȶ
d\	ȡ
dz\	dʑ
dz\	dʑ
dz\:	dʑː
ts\	tɕ
ts\	tɕ
ts\:	tɕː
l\	ȴ
l\	ȴ
n\	ȵ
b_j	bʲ
m_j	mʲ
p_j	pʲ
bB	bβ
pp\	pɸ
m_=	m̩
b_h\	bʱ
b_h\:	bʱː
b_h:	bʰː
b_}	b̚
p_h	pʰ
m_h\	mʱ
p_h:	pʰː
b_?\:	bˤː
b_w[?]:	bʷː
m_w[?]:	mʷː
m_?\:	mˤː
dD	dð
dD	dð
dz_d	dz̪
dz_d:	dz̪ː
dz_d:	dz̪ː
tT	tθ
tT	tθ
ts_d_h	ts̪ʰ
tK_d	tɬ̪
tK_d_h	tɬ̪ʰ
tK_d_>	tɬ̪ʼ
ts_d	ts̪
ts_d:	ts̪ː
ts_d:	ts̪ː
ts_d_>	ts̪ʼ
ts_d_j	ts̪ʲ
ts_d:	ts̪ː
|\	ǀ
d_d_h\	d̪ʱ
d_d_h\:	d̪ʱː
d_d_h\	d̪ʱ
t_d_h:	t̪ʰː
D_}	ð̚
l_d_=	l̪̩
_ng|\	ⁿgǀ
h\	ɦ
O\[?]	ʘ
_ngO\[?]	ⁿgʘ
v_j	vʲ
v_j	vʲ
V\	ⱱ
bv	bv
pf	pf
f_>	fʼ
F^0	ɱ̊
f_w[?]:	fʷː
||	ǁ
_ng||	ⁿgǁ
N||	ŋǁ
N^0||	ŋ̊ǁ
_?N||	ˀŋǁ
_ng||	ⁿgǁ
_ng||	ⁿgǁ
=\	ǂ
J	ɲ
J^0	ɲ̊
j^0	j̊
_ng=\	ⁿgǂ
S_w_j	ʃʲ
S_w_j	ʃʲ
dZ_h\	dʒʱ
dZ	dʒ
dZ	dʒ
tS_w	tʃ
tS_w	tʃ
tS_w:	tʃː
Z^'	ʒ̍
tS_w	tʃ
tS_w_h	tʃʰ
tS_w_>	tʃʼ
tS_w:	tʃː
tS_w_w[?]	tʃʷ
d:Z	dːʒ
dZ_w[?]	dʒʷ
dZ_h\	dʒʱ
tS_w_>:	tʃʼː
tS_w_>:	tʃʼː
d`z`	ɖʐ
d`z`	ɖʐ
d`z`	ɖʐ
t`s`:	ʈʂː
t`s`:	ʈʂː
t`s`:	ʈʂː
t`s`:	ʈʂː
t`s`	ʈʂ
t`s`	ʈʂ
t`s`	ʈʂ
t`s`_h	ʈʂʰ
!\!\	ǃǃ
d`_h\	ɖʱ
d`	ɖ
r`_h\	ɽʱ
t`_h:	ʈʰː
l`_=	ɭ̩
_ng!\!\	ⁿgǃǃ
G\R	ɢʁ
qX	qχ
X	χ
G\\_<_0	ʛ̥
G\\_<_0	ʛ̥
q_w[?]_h	qʷʰ
q_>_w[?]	qʼʷ
g_j	gʲ
k_j	kʲ
x_j	xʲ
gG	gɣ
kx	kx
G^0	ɣ̊
N=	ŋ̍
N^0	ŋ̊
g_h\	gʱ
g^0	g̊
k_h	kʰ
k_w[?]	kʷ
k_w[?]_h	kʷʰ
k_>_w[?]	kʼʷ
g_h\	gʱ
a:	aː
a~:	ãː
e:	eː
e~:	ẽː
e_o:	e̞ː
A_+	ɑ̟
e_o~:	ẽ̞ː
ø	ø
ø:	øː
i:	iː
i~:	ĩː
y	y
o:	oː
o~	õ
o_o:	o̞ː
o_o~	õ̞
u:	uː
u~	ũ
y:	yː
y~:	ỹː
{:	æː
{~:	æ̃ː
ø:	øː
ø~:	ø̃ː
ø_o:	ø̞ː
ø_o~:	ø̞̃ː
9:	œː
9~:	œ̃ː
6:	ɐː
6~:	ɐ̃ː
3\_o	ɞ̞
3\_o:	ɞ̞ː
3\_o:	ɞ̞ː
A:	ɑː
A~	ɑ̃
Q:	ɒː
Q~	ɒ̃
O:	ɔː
O~	ɔ̃
3\_o	ɞ̞
3\_o:	ɞ̞ː
3\_o:	ɞ̞ː
@\\:	ɘː
@\\~	ɘ̃
@:	əː
@~	ə̃
E:	ɛː
E~:	ɛ̃ː
9~	œ̃
3:	ɜː
3~:	ɜ̃ː
3\:	ɞː
3\~:	ɞ̃ː
3\_o:	ɞ̞ː
3\_o~:	ɞ̞̃ː
7:	ɤː
7~	ɤ̃
7_o:	ɤ̞ː
7_o~	ɤ̞̃
ɨ:	ɨː
ɨ~	ɨ̃
I:	ɪː
I~:	ɪ̃ː
I_":	ɪ̈ː
I_"~	ɪ̈̃
Y	ʏ
M:	ɯː
M~	ɯ̃
M^x:	ɯ̽ː
M^x~:	ɯ̽̃ː
8:	ɵː
8~	ɵ̃
8_o:	ɵ̞ː
8_o~	ɵ̞̃
&:	ɶː
&~:	ɶ̃ː
}:	ʉː
}~	ʉ̃
U:	ʊː
U~:	ʊ̃ː
U_":	ʊ̈ː
U_"~	ʊ̈̃
V:	ʌː
V~	ʌ̃
Y:	ʏː
Y~:	ʏ̃ː
O_^	ɔ̯
